사건번호,사건명,case,year,month,day,해양사고발생(시),해양사고발생(분),해양사고발생시간대,계절,해양사고장소(위),해양사고장소(위도),해양사고장소(위분),해양사고장소(위초),해양사고장소(경),해양사고장소(경도),해양사고장소(경분),해양사고장소(경초),해양사고발생지역(대),해양사고발생지역(중),해양사고발생지역(통계용),선박명,선박중요도,선박톤수,톤수범위(통계용),선박용도(통계용),사망합계(선원_여객_기타),실종합계(선원_여객_기타),인명피해합계(사망_실종),부상합계(선원_여객_기타),총합(사망_실종_부상),lat,lon,lat2,lon2,timestamp
BS-2021-0304,어선 제1구진호 · 액화화학품산적운반선 에코 조슈아 파크 충돌사건,충돌,2021,1,30,2,30,00:00~04:00,겨울,북,35.0,9,44,동,129.0,36,5,국외,동해공해,동해공해,에코 조슈아 파크,2,29723.0,"20,000~50,000톤미만",유조선,0,0,0,0,0,35.16222222222222,129.6013888888889,35.16,129.6,2021-01-30
BS-2021-0313,어선 성창호 · 어선 제2해성호 충돌사건,충돌,2021,5,11,9,16,08:00~12:00,봄,북,34.0,44,37,동,128.0,7,18,국내,남해영해,남해영해,제2해성호,2,4.99,3~5톤미만,어선,0,0,0,0,0,34.743611111111115,128.12166666666667,34.74,128.12,2021-05-11
BS-2021-0320,산적화물선 씨에이치 벨라호 · 원양어선 푸유안유196 충돌사건,충돌,2021,5,20,10,32,08:00~12:00,봄,북,35.0,1,8,동,129.0,1,16,국내,남해영해,남해영해,씨에이치 벨라호,1,19992.0,"10,000~20,000톤미만",화물선,0,0,0,0,0,35.01888888888889,129.0211111111111,35.02,129.02,2021-05-20
BS-2021-0328,연안구조정 부산-08정 · 어선 대동7호 충돌사건,충돌,2021,3,8,10,9,08:00~12:00,봄,북,35.0,6,16,동,128.0,55,52,국내,남해영해,남해영해,대동7호,2,2.74,2~3톤미만,어선,0,0,0,1,1,35.10444444444445,128.9311111111111,35.1,128.93,2021-03-08
BS-2021-0333,탱커선 우리하나 · 어선 제3충무호 충돌사건,충돌,2021,5,27,21,18,20:00~24:00,봄,북,34.0,20,30,동,128.0,23,42,국외,남해공해,남해공해,제3충무호,2,22.0,20~25톤미만,어선,0,0,0,0,0,34.34166666666667,128.39499999999998,34.34,128.39,2021-05-27
BS-2021-0348,어선 제7은수호 · 산적화물선 프리티프로스페리티 충돌사건,충돌,2021,6,3,3,49,00:00~04:00,여름,북,35.0,0,23,동,129.0,23,4,국내,개항 및 진입수로,부산항 및 진입수로,프리티프로스페리티,2,27663.0,"20,000~50,000톤미만",화물선,0,0,0,0,0,35.006388888888885,129.38444444444443,35.01,129.38,2021-06-03
BS-2021-0362,부선 다도77호 · 부선 오셔니어링 충돌사건,충돌,2021,6,12,22,50,20:00~24:00,여름,북,35.0,7,9,동,128.0,41,19,국내,개항 및 진입수로,"마산항, 진해항, 진해만(가덕수로)",다도77호,1,4622.0,"1,000~5,000톤미만",기타선,0,0,0,0,0,35.119166666666665,128.68861111111113,35.12,128.69,2021-06-12
BS-2021-0376,낚시어선 베스트2호 · 어선 어양호 충돌사건,충돌,2021,6,22,7,36,04:00~08:00,여름,북,34.0,48,30,동,128.0,22,6,국내,남해영해,남해영해,베스트2호,1,9.77,5~10톤미만,어선,0,0,0,0,0,34.80833333333333,128.36833333333334,34.81,128.37,2021-06-22
BS-2021-0385,어선 제107장성호 · 어선 제208복성호 충돌사건,충돌,2021,6,27,16,8,16:00~20:00,여름,북,35.0,25,0,동,129.0,34,0,국내,동해영해,동해영해,제208복성호,2,29.0,25~30톤미만,어선,0,0,0,0,0,35.416666666666664,129.56666666666666,35.42,129.57,2021-06-27
BS-2021-0391,급유선 8민성호 · 냉동냉장선 시에라 충돌사건,충돌,2021,6,29,14,28,12:00~16:00,여름,북,35.0,4,10,동,129.0,1,41,국내,남해영해,남해영해,8민성호,1,120.0,100~500톤미만,유조선,0,0,0,0,0,35.06944444444445,129.02805555555557,35.07,129.03,2021-06-29
BS-2022-0032,어선 독도호 어선 수영호 충돌사건,충돌,2021,4,30,7,5,04:00~08:00,봄,북,35.0,4,5,동,128.0,29,8,국내,개항 및 진입수로,"마산항, 진해항, 진해만(가덕수로)",수영호,2,1.39,1~2톤미만,어선,0,0,0,1,1,35.06805555555556,128.48555555555555,35.07,128.49,2021-04-30
BS-2022-0053,석유제품운반선 아크호·어선 백양2호 충돌사건,충돌,2021,1,31,16,0,16:00~20:00,겨울,북,35.0,6,11,동,129.0,9,21,국내,남해영해,남해영해,아크호,1,759.0,"500~1,000톤미만",유조선,0,0,0,0,0,35.10305555555556,129.15583333333333,35.1,129.16,2021-01-31
DH-2021-0036,"어선 광명호, 어선 세명호 충돌사건",충돌,2021,2,1,5,20,04:00~08:00,겨울,북,36.0,6,39,동,129.0,26,5,국내,개항 및 진입수로,"울산항(미포만포함), 포항항",광명호,1,24.0,20~25톤미만,어선,0,0,0,0,0,36.11083333333333,129.43472222222223,36.11,129.43,2021-02-01
DH-2021-0111,"어선 남영호, 어선 정수호 충돌사건",충돌,2021,4,18,6,8,04:00~08:00,봄,북,35.0,47,4,동,129.0,30,12,국내,동해영해,동해영해,남영호,1,3.28,3~5톤미만,어선,0,0,0,0,0,35.78444444444444,129.50333333333333,35.78,129.5,2021-04-18
IC-2021-0199,"어선 어성호, 고무보트 번개호 충돌사건",충돌,2021,3,7,7,30,04:00~08:00,봄,북,35.0,52,0,동,126.0,19,0,국내,서해영해,서해영해,어성호,1,0.0,미상,어선,0,0,0,0,0,35.86666666666667,126.31666666666666,35.87,126.32,2021-03-07
IC-2021-0361,"어선 제202대일호, 어선 새천년호 충돌사건",충돌,2021,5,11,4,52,04:00~08:00,봄,북,35.0,37,11,동,126.0,28,5,국내,서해영해,서해영해,새천년호,2,9.77,5~10톤미만,어선,0,0,0,0,0,35.61972222222222,126.46805555555557,35.62,126.47,2021-05-11
IC-2021-0406,"낚시어선 루어프렌즈호, 모터보트 선명무 충돌사건",충돌,2021,5,19,9,46,08:00~12:00,봄,북,35.0,51,59,동,126.0,18,29,국내,서해영해,서해영해,루어프렌즈호,1,9.77,5~10톤미만,어선,0,0,0,0,0,35.86638888888889,126.30805555555555,35.87,126.31,2021-05-19
